year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2018,,0.8088,,,,,,,
2019,,0.3035,,,,,,,
2021,,0.8405,,,,,0.1951,,
2022,0.01155,0.63625,,,0.003713,0.0077,0.0266,,0.018975
2023,,0.54665,,,0.003713,0.01095,,,0.018375
2024,,0.18625,,,0.003713,0.01095,,,0.018375
2025,,3.35321,4.0055,3.8809,3.814813,0.01095,0.3127,2.6663,1.164725
2026,4.7286,6.1067,4.2952,5.6561,0.689413,6.1371,,1.1417,0.007425
