year,rank,university,budget_original,budget_unit,budget_yi_yuan,source_image,source_url,extraction_method,verified,notes
2017,24,中国人民大学,51.71亿元,亿元,51.71,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,25,重庆大学,50.4亿元,亿元,50.4,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,26,电子科技大学,50.27亿元,亿元,50.27,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,27,武汉理工大学,44.87亿元,亿元,44.87,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,28,南开大学,44.73亿元,亿元,44.73,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,29,西南大学,44.19亿元,亿元,44.19,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,30,东北大学,43.77亿元,亿元,43.77,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,31,北京科技大学,40.64亿元,亿元,40.64,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,32,西南交通大学,40.53亿元,亿元,40.53,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,33,中国石油大学（北京）,39.72亿元,亿元,39.72,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,34,北京交通大学,37.93亿元,亿元,37.93,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,35,湖南大学,36.78亿元,亿元,36.78,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,36,中国海洋大学,35.98亿元,亿元,35.98,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,38,西安电子科技大学,35.83亿元,亿元,35.83,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
