year,rank,university,annual_budget_yi_yuan,current_year_income_yi_yuan,income_total_yi_yuan,annual_income_total_yi_yuan,annual_expenditure_total_yi_yuan,prior_year_budget_yi_yuan,change_yi_yuan,change_ratio,fiscal_appropriation_income_yi_yuan,fiscal_appropriation_ratio,department,province,source_image,source_url,extraction_method,verified,notes
2016,32,中国石油大学（华东）,33.11,,,21.38,21.51,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,33,北京科技大学,33.00,,,21.76,23.30,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,34,中国石油大学（北京）,32.67,,,14.91,16.45,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,35,兰州大学,32.43,,,25.98,26.03,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,36,西南大学,32.39,,,31.60,32.39,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,37,湖南大学,32.03,,,23.55,25.03,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,38,西南交通大学,30.64,,,28.82,30.64,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,39,北京化工大学,30.07,,,23.49,24.02,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,40,西北农林科技大学,29.73,,,23.36,24.57,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,41,河海大学,28.88,,,19.99,21.08,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,42,西安电子科技大学,28.28,,,20.86,20.72,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
