year,上海交通大学,北京大学,南京大学,复旦大学,浙江大学,清华大学,西安交通大学
2017,19.27,26.35,21.59,27.42,-2.47,28.09,24.96
2018,2.92,-35.1,17.21,8.46,2.78,15.47,14.13
2019,7.9,51.39,-4.59,14.87,24.0,10.3,9.68
2020,5.49,0.54,2.27,8.89,12.74,4.55,14.73
2021,6.52,15.84,8.95,3.97,5.53,2.11,13.36
2022,16.25,-0.93,8.2,21.13,14.41,,16.6
2023,29.85,1.45,4.3,4.16,18.38,29.52,9.4
2024,6.19,9.36,24.54,2.0,6.34,-6.14,10.04
2025,4.58,6.51,4.75,0.38,7.21,2.46,-33.38
2026,3.27,8.24,15.32,-65.75,8.56,2.21,73.02
