year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2013,,,,,13.260703,,,,
2014,,34.093804,,,,,,,
2016,,,23.043779,,,,,,
2017,,,33.462311,,,,,,
2019,,,40.089397,,,,,,27.243711
2020,47.638123,,,,,,,,
2021,,,,,,,,24.63866,
