university,year,budget_yi_yuan,source_type,metric_code,source_url,notes
上海交通大学,2016,118.030124,official_html,budget_total,https://gk.sjtu.edu.cn/Phone/View/502,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
上海交通大学,2017,140.773366,official_pdf,income_total,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/gkml/%E4%B8%8A%E6%B5%B7%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%A62017%E5%B9%B4%E5%BA%A6%E9%83%A8%E9%97%A8%E9%A2%84%E7%AE%97.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
上海交通大学,2018,144.87757,official_pdf,income_total,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20180427/%E4%B8%8A%E6%B5%B7%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%A62018%E5%B9%B4%E5%BA%A6%E9%83%A8%E9%97%A8%E9%A2%84%E7%AE%97.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
上海交通大学,2019,156.319958,official_pdf,income_total,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20190425/20190425084935583.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
上海交通大学,2020,164.900092,official_pdf,income_total,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20200703/20200703102725573.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
上海交通大学,2021,175.647416,official_pdf,income_total,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20210409/20210409085653062.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
上海交通大学,2022,204.198443,official_pdf,income_total,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20220421/20220421182159888.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
上海交通大学,2023,265.164863,official_pdf,income_total,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20230421/20230421140414884.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
上海交通大学,2024,281.576575,official_pdf,income_total,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20240419/20240419134127209.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
上海交通大学,2025,294.477274,official_pdf,income_total,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20250418/20250418150938996.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
上海交通大学,2026,304.114821,official_pdf,income_total,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20260423/20260423134912384.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
中国科学技术大学,2017,53.534431,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/9f/d7/d5549e5f46dea88bd8ffc78c19f3/e930dafe-693d-46d7-8332-65723e8058ec.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
中国科学技术大学,2018,57.696846,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/04/34/d2df43644f5aae3a9b4f6c1a7c6c/abc82211-7a7d-4b67-92ff-91f79bdf0c6f.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
中国科学技术大学,2019,68.523674,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/90/e0/8e1b7a2241cd902d11006e58cbf6/615cf5a7-7e59-4ff1-b6e6-7e7cc265fb0d.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
中国科学技术大学,2020,72.484854,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/0d/d7/aa20424d49229dadb09d9d8039ed/1c22376d-4d21-4e54-8c56-6bb4f9da191c.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
中国科学技术大学,2021,72.997584,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/7d/cf/312856404f19829a0e1afd101438/788d90cb-4d4b-42e3-bdb7-fe755a6d02cd.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
中国科学技术大学,2022,133.84772,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/16/76/fb41cafa412a976d1b8b7a402bf3/a0d5ef63-a9cf-4572-a503-34e2bc588982.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
中国科学技术大学,2023,138.973891,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/56/09/c04b0d65483d8d377dbfb7038204/32d23d2d-c800-49e6-bc9f-cca3353404db.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
中国科学技术大学,2024,139.495435,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/f3/98/8645ada74fb990839237c341b4c3/4029f7c1-b41e-48c7-85f2-be4f3a5caa88.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
中国科学技术大学,2025,136.1132,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/64/3c/aec6f52d4c6981525480c200ad3a/c7ae8b1f-a521-49ef-b25b-1c77403f3357.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
中国科学技术大学,2026,137.287685,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/cd/1b/a53baa1c42debe17c7f138282ebb/51fa62fe-e442-4d76-ad54-895c9734426e.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
北京大学,2016,153.112749,official_pdf,income_total,https://xxgk.pku.edu.cn/docs/20160506105731184104.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
北京大学,2017,193.453269,official_pdf,income_total,https://xxgk.pku.edu.cn/docs/20170426091251871222.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
北京大学,2018,125.543167,official_pdf,income_total,https://xxgk.pku.edu.cn/docs/20180427085834038899.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
北京大学,2019,190.068978,official_pdf,income_total,https://xxgk.pku.edu.cn/docs/20190426085248233358.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total
