university,year,budget_yi_yuan,source_type,metric_code,source_url,notes,growth_rate,growth_percent
中国科学技术大学,2023,138.973891,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/56/09/c04b0d65483d8d377dbfb7038204/32d23d2d-c800-49e6-bc9f-cca3353404db.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.03829853059880284,3.829853059880284
中国科学技术大学,2024,139.495435,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/f3/98/8645ada74fb990839237c341b4c3/4029f7c1-b41e-48c7-85f2-be4f3a5caa88.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.0037528200171064174,0.37528200171064174
中国科学技术大学,2025,136.1132,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/64/3c/aec6f52d4c6981525480c200ad3a/c7ae8b1f-a521-49ef-b25b-1c77403f3357.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,-0.024246205619560146,-2.4246205619560146
中国科学技术大学,2026,137.287685,official_pdf,income_total,https://xxgk.ustc.edu.cn/_upload/article/files/cd/1b/a53baa1c42debe17c7f138282ebb/51fa62fe-e442-4d76-ad54-895c9734426e.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.008628736963057326,0.8628736963057326
北京大学,2017,193.453269,official_pdf,income_total,https://xxgk.pku.edu.cn/docs/20170426091251871222.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.2634693731480191,26.34693731480191
北京大学,2018,125.543167,official_pdf,income_total,https://xxgk.pku.edu.cn/docs/20180427085834038899.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,-0.35104137733645646,-35.10413773364564
北京大学,2019,190.068978,official_pdf,income_total,https://xxgk.pku.edu.cn/docs/20190426085248233358.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.5139731021760825,51.39731021760825
北京大学,2020,191.080814,official_pdf,income_total,https://xxgk.pku.edu.cn/docs/20200703095843466311.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.005323519969681723,0.5323519969681723
北京大学,2021,221.34,third_party_ocr_fallback,legacy_budget_yi_yuan,https://m.mp.oeeee.com/a/BAAFRD000020210414468623.html,,0.15835805472338005,15.835805472338006
北京大学,2022,219.286272,official_pdf,expense_total,https://xxgk.pku.edu.cn/docs/20220421175709111901.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,-0.009278612089997362,-0.9278612089997362
北京大学,2023,222.465984,official_pdf,expense_total,https://xxgk.pku.edu.cn/docs/20230421170004313283.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.014500278430562119,1.450027843056212
北京大学,2024,243.29975,official_pdf,expense_total,https://xxgk.pku.edu.cn/docs/20240419175741718941.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.093649220547803,9.364922054780301
北京大学,2025,259.135837,official_pdf,income_total,https://xxgk.pku.edu.cn/docs/20250418180029581910.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.06508879273406576,6.508879273406576
北京大学,2026,280.492826,official_pdf,income_total,https://xxgk.pku.edu.cn/docs/2026-04/53e37cbcda454342924db62f97038064.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.08241619240028153,8.241619240028154
南京大学,2014,57.036554,official_pdf,budget_total,https://xxgk.nju.edu.cn/_upload/article/4d/5e/2790f758483fbd2e1a2636174430/0863e0a7-42a5-4b10-af0d-e0c1c6a60db4.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.5888758709329187,58.88758709329187
南京大学,2015,56.075048,official_pdf,expense_total,https://xxgk.nju.edu.cn/_upload/article/3d/76/5b75602d45a991699fca614588fd/5ce81cfc-8309-40e5-b70d-88a1901c30da.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,-0.0168577154924191,-1.68577154924191
南京大学,2016,57.019958,official_pdf,budget_total,https://xxgk.nju.edu.cn/_upload/article/files/54/1a/20d4a9e8486997b264c51d78243f/3e25c06a-8273-4e8d-a6b6-feb5406484d3.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.016850810363996382,1.6850810363996382
南京大学,2017,69.325938,official_pdf,budget_total,https://xxgk.nju.edu.cn/_upload/article/files/41/e9/71fb712b4f9db6b9a0e53a6e7a11/bd5da699-a6a8-4ac4-8606-73830fdc340b.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.2158188190878707,21.58188190878707
南京大学,2018,81.262924,official_pdf,budget_total,https://xxgk.nju.edu.cn/_upload/article/files/ea/9a/41c699ab4edbaf9896e0e7a940bc/70c7ff92-766c-401d-ac09-574320d06ef0.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.1721864333086991,17.21864333086991
南京大学,2019,77.533977,official_pdf,income_total,https://xxgk.nju.edu.cn/_upload/article/files/19/f8/ef9c9929432782d23b0b169bb67a/d1b3750e-3230-4af7-8239-f25968053400.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,-0.045887433240772935,-4.588743324077294
南京大学,2020,79.293906,official_pdf,budget_total,https://xxgk.nju.edu.cn/_upload/article/files/6f/87/a89ccc4a43299aac42bbebdd2437/4f198289-e1e0-4766-9486-09351efcf19e.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.02269880983920136,2.269880983920136
南京大学,2021,86.393547,official_pdf,income_total,https://xxgk.nju.edu.cn/_upload/article/files/59/7c/3f3862324434bbe2fcb362ae99b8/0949ecf5-59ed-4519-8edc-401e3335f0e5.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.08953577088256925,8.953577088256925
南京大学,2022,93.471152,official_pdf,income_total,https://xxgk.nju.edu.cn/_upload/article/files/0e/a3/ab9ea7554f42879a98183dcd7298/86f9ecab-cc23-4862-8619-5a092e2ff178.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.0819228431493848,8.19228431493848
南京大学,2023,97.491525,official_pdf,income_total,https://xxgk.nju.edu.cn/_upload/article/files/06/8d/b70f213b45768e691f44d535b55d/5c18cbed-892b-4277-af0b-2029e0f8ab00.pdf,official candidate; metric priority: budget_total > income_total > expense_total > current_year_expense_total > current_year_income_total,0.043011912381266004,4.3011912381266
